3
KEY,WORDS,MULTIPLICITY
<Board:regionsP1>,{ <Board:regionsP1> },1
,<Board:regionsP1> },1
Rescue,) Rescue a,3
,Rescue a,3
half,P1 half right,1
,P2 half right,1
,half right,2
,right half (,2
,half (,2
slowed,not slowed down,1
,slowed down,1
-90,rotate -90 (,5
,-90 (,5
functions,except functions drawn,8
,General functions Source:,7
,functions drawn,9
,functions Source:,7
,General functions Usage:,1
,Hand functions STRING,1
,small functions drawn,1
,functions Usage:,1
,functions STRING,1
don't,unpredictable don't mess,1
,don't mess,1
<Ruleset>,STRING <Ruleset> args:,1
,<Ruleset> args:,1
tiling,( tiling T33434,9
,( tiling T3464,5
,tiling T33434,9
,tiling T3464,5
,( tiling T33336,1
,tiling T33336,1
,( tiling T3636,1
,tiling T3636,1
forward:True,STRING forward:True (,1
,forward:True (,1
,origin:True forward:True ),2
,forward:True ),6
,) forward:True ),4
your,by your pieces,1
,your pieces,1
<Moves:dog>,N <Moves:dog> ),1
,<Moves:dog> ),1
<Players:removeLastPiece>,) <Players:removeLastPiece> ),1
,<Players:removeLastPiece> ),1
without,move without capture,1
,without capture,1
,Done without simultaneous,1
,without simultaneous,1
,modelled without the,1
,without the,2
,game without the,1
,or without capturing,1
,side without any,1
,elapsed without a,1
,without capturing,1
,without any,3
,without a,1
,Move without any,2
,steps without state,2
,those without subsequent,1
,without state,2
,without subsequent,1
<Player:startP4>,<Player:startP3> <Player:startP4> },3
,<Player:startP4> },3
stalemate,a stalemate due,1
,in stalemate --COMMA--,1
,a stalemate .,1
,stalemate due,1
,stalemate --COMMA--,1
,stalemate .,1
next:3,<Player:option> next:3 ),1
,next:3 ),1
these,with these numbers,1
,these numbers,1
next:4,<Player:option> next:4 ),1
,next:4 ),1
would,that would be,1
,would be,1
,steps would then,1
,step would then,1
,would then,2
protected,is protected by,1
,protected by,1
next:0,STRING next:0 result:,1
,next:0 result:,1
pick,to pick up,1
,pick up,1
next:1,STRING next:1 result:,1
,next:1 result:,1
,<Player:option> next:1 ),1
,next:1 ),1
next:2,STRING next:2 result:,1
,next:2 result:,1
,<Player:option> next:2 ),1
,next:2 ),1
''shift-swaps'',Mover ''shift-swaps'' with,1
,''shift-swaps'' with,1
<distance>,<type> <distance> },2
,<distance> },3
,{ <distance> },1
firstMoveOnTrack,( firstMoveOnTrack STRING,7
,firstMoveOnTrack STRING,7
<44>,STRING <44> STRING,1
,<44> STRING,1
wins,player wins --COMMA--,1
,wins --COMMA--,1
,place wins a,1
,wins a,1
!,( ! =,645
,! =,645
Small,- Small Piece,1
,Small Piece,1
<Board:regionsP2>,{ <Board:regionsP2> },1
,<Board:regionsP2> },1
<numTiles>,<boardWidth> <numTiles> },1
,<numTiles> },1
%,( % (,21
,% (,21
&,INTEGER & INTEGER,14
,& INTEGER,14
destinations,resulting destinations it,1
,all destinations are,1
,destinations it,1
,destinations are,1
(,STRING ( players,948
,) ( equipment,950
,{ ( board,750
,board ( merge,89
,merge ( shift,32
,INTEGER ( square,87
,) ( wedge,12
,) ( piece,2411
,P1 ( or,33
,) ( rules,979
,rules ( start,813
,{ ( place,569
,STRING ( difference,173
,difference ( expand,122
,expand ( sites,526
,) ( sites,2544
,) ( place,4083
,) ( play,579
,play ( forEach,252
,) ( end,745
,{ ( STRING,303
,) ( if,2154
,if ( <=,108
,<= ( count,72
,) ( result,1268
,) ( option,504
,{ ( item,514
,* ( item,310
,( game,943
,( players,959
,( equipment,979
,( board,814
,( merge,154
,( shift,469
,( square,493
,( wedge,108
,( piece,2917
,( or,1967
,( rules,982
,( start,964
,( place,4963
,( difference,683
,( expand,687
,( sites,8871
,( play,1425
,( forEach,1855
,( end,1007
,( STRING,8863
,( if,6152
,( <=,227
,( count,3018
,( result,1306
,( option,514
,( item,2694
,STRING ( forEach,191
,Site ( sites,225
,From ( forEach,2
,STRING ( STRING,647
,) ( remember,112
,STRING ( site,120
,) ( game,661
,INTEGER ( rectangle,266
,) ( shift,397
,or ( STRING,475
,STRING ( sites,1489
