2
KEY,WORDS,MULTIPLICITY
"board/space/territory","board/space/territory" ),14
Twenty,Twenty pieces,9
Twenty,Twenty is,1
"RegimentalOutline","RegimentalOutline" },2
"RegimentalOutline","RegimentalOutline" "WagonOutline",6
"RegimentalOutline","RegimentalOutline" Each,1
"RegimentalOutline","RegimentalOutline" 0,1
"RegimentalOutline","RegimentalOutline" strokeColour:,1
"Das,"Das Gupta,17
"Das,"Das Bohnenspiel",1
"Das,"Das Bohnenspiel,1
"Das,"Das Bohnenspiel_ai",1
"Chungcajon,"Chungcajon is,1
"Dale,"Dale W,33
	,	 phases:,4
	,	 ),379
	,	 },16
	,	 (,186
	,	 			,12
	,	 count:,1
	,	 >,23
	,	 skipIf:,1
	,	 includeSelf:False,2
	,	 <,63
	,	 //,1
	,	 #2,4
	,	 if:,15
	,	 "Ruleset,1
	,	 "HopCapture",2
	,	 maxState:3,1
	,	 "Promote",2
	,	 use:Vertex,1
	,	 "The,3
	,	 Orthogonal,1
	,	 		,2
	,	 	,8
	,	 Cell,1
Vendsyssel,Vendsyssel ),2
"Dala,"Dala is,1
"AH36","AH36" },1
"MoveOnLoop","MoveOnLoop" (,2
neferu,neferu hieroglyph,4
neferu,neferu 27:,1
Chick,Chick (,1
Chick,Chick advances,1
Chick,Chick .,1
Chick,Chick --COMMA--,1
Chick,Chick on,1
"Castle_QueenSide_Long_P2","Castle_QueenSide_Long_P2" (,1
"Castle_QueenSide_Long_P2","Castle_QueenSide_Long_P2" ),1
guards,guards ),1
Grow,Grow Jogos,1
"Diagonal","Diagonal" <,2
12x12,12x12 squares,1
12x12,12x12 board,16
12x12,12x12 .,2
12x12,12x12 board",3
12x12,12x12 checker,1
12x12,12x12 boards,1
12x12,12x12 ),1
pick,pick up,7
pick,pick the,1
pick,pick a,2
pick,pick --COMMA--,1
href=\"https://senseis,href=\"https://senseis .,2
12x16,12x16 board,1
"Dai,"Dai Hasami,3
"Dam,"Dam is,2
"Dam,"Dam Blas",1
"Dam,"Dam (,2
"Dam,"Dam Hariman",1
"Dam,"Dam Hariman,1
"Dam,"Dam Hariman_ai",1
3636,3636 .,1
"Dan,"Dan Troyka",1
"SideMover2","SideMover2" (,2
"SideMover2","SideMover2" {,1
"HexHex","HexHex" (,2
"HexHex","HexHex" >,2
org/wiki/Chopsticks_,org/wiki/Chopsticks_ (,1
Dig",Dig" (,1
"TinSoldier1","TinSoldier1" 1617,1
!,! =,638
!,! (,1
!,! \",2
!,! Hermit,1
!,! Twelve,1
!,! ",2
!,! "		,1
"," ),5853
"," {,363
"," (,707
"," },10
"," <,358
"," Arnarson,1
"," 4x3,1
"," to:Next,1
"," P7,2
"," P8,2
"," "Huts",2
"," to:All,8
"," //,4
"," groups",1
"," "Repetition,26
"," Played,1
"," White",1
"," Red",1
"," Orange",1
"," Blue",1
"," Green",1
"," Magenta",1
"," Grey",1
"," P1,1
"," Gold",1
"," one,1
"," 1-2,1
"," 1-3,1
"," 1-4,1
"," 1-5,1
"," any,1
"," >,4
"," "Shisen",1
83-85,83-85 .,2
"Jorge,"Jorge Gómez,1
"CapturesAreImpossible","CapturesAreImpossible" (,1
